ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,False,False,False,0.15,end,ふ,0.02084888,6.996269E-05,
,TP3,False,False,False,0.15,begin,か,0.01224347,0.00545709,5.571157
,TP3,False,False,False,0.15,end,か,0.01273321,0.004967351,
,TP3,False,False,False,0.15,begin,す,0.02917444,0.0002098881,1.197969
,TP3,False,False,False,0.15,end,す,0.03840952,0.01637127,
,TP3,False,False,False,0.15,begin,わ,0.006226679,-0.0328125,1.517292
,TP3,False,False,False,0.15,end,わ,-0.0003498135,-0.02833489,
,TP3,False,False,False,0.15,begin,S,0.04421642,-0.006996269,3.411243
,TP3,False,False,False,0.15,end,S,0.04533582,-0.00755597,
,TP3,False,False,False,0.15,begin,E,0.03666045,-0.02392724,2.159243
,TP3,False,False,False,0.15,end,E,0.03791978,-0.02469683,
,TP3,False,False,False,0.15,begin,ひ,0.02672575,-0.01070429,1.253817
,TP3,False,False,False,0.15,end,ひ,0.009235075,-0.01154384,
,TP3,False,False,False,0.15,begin,た,-0.01693097,-0.009375,1.616882
,TP3,False,False,False,0.15,end,た,-0.01609142,-0.01133396,
,TP3,False,False,False,0.15,begin,ー,-6.996269E-05,-0.02903452,1.307863
,TP3,False,False,False,0.15,end,ー,0.01322295,-0.02847482,
,TP3,False,False,False,0.15,begin,S,0.04351679,-0.006856344,1.601408
,TP3,False,False,False,0.15,end,S,0.04141791,-0.00832556,
,TP3,False,False,False,0.15,begin,ん,0.003847948,-0.03610075,1.295044
,TP3,False,False,False,0.15,end,ん,0.004407649,-0.02637593,
,TP3,False,False,False,0.15,begin,！,0.02707556,-0.02651586,1.489782
,TP3,False,False,False,0.15,end,！,0.04281716,-0.02427705,
,TP3,False,False,False,0.15,begin,め,-0.01644123,-0.01714086,1.921412
,TP3,False,False,False,0.15,end,め,0.004477612,-0.01756063,
,TP3,False,False,False,0.15,begin,？,0.03260261,-0.0264459,1.378124
,TP3,False,False,False,0.15,end,？,0.03022388,-0.01441231,
,TP3,False,False,False,0.15,begin,。,0.02973414,-0.02686567,3.035982
,TP3,False,False,False,0.15,end,。,0.01329291,-0.02553638,
,TP3,False,False,False,0.15,begin,よ,0.005946829,-0.01224347,1.545219
,TP3,False,False,False,0.15,end,よ,0.005946829,-0.02504664,
,TP3,False,False,False,0.15,begin,て,-0.01686101,-0.003568097,1.309063
,TP3,False,False,False,0.15,end,て,0.005946829,-0.004197761,
,TP3,False,False,False,0.15,begin,も,-0.01434235,-0.01287313,1.253254
,TP3,False,False,False,0.15,end,も,-0.01245336,-0.02280784,
,TP3,False,False,False,0.15,begin,れ,0.02056903,-0.01525187,1.294765
,TP3,False,False,False,0.15,end,れ,0.01371269,-0.003777985,
,TP3,False,False,False,0.15,begin,ら,0.03372202,-0.01888993,2.269642
,TP3,False,False,False,0.15,end,ら,0.03155317,-0.01965952,
,TP3,False,False,False,0.15,begin,な,0.004757463,-0.006226679,1.058556
,TP3,False,False,False,0.15,end,な,0.00545709,-0.00755597,
,TP3,False,False,False,0.15,begin,、,0.02854478,-0.03029384,1.795776
,TP3,False,False,False,0.15,end,、,0.02945429,-0.0270056,
,TP3,False,False,False,0.15,begin,り,0.02742537,-0.01833022,1.489735
,TP3,False,False,False,0.15,end,り,0.01476213,-0.01574161,
,TP3,False,False,False,0.15,begin,け,0.007905784,0.007835821,1.350861
,TP3,False,False,False,0.15,end,け,0.03631064,0.009165112,
,TP3,False,False,False,0.15,begin,ゆ,0.007136195,-0.02294776,1.322968
,TP3,False,False,False,0.15,end,ゆ,0.01203358,-0.003568097,
,TP3,False,False,False,0.15,begin,B,0.04981343,0.01259328,1.809963
,TP3,False,False,False,0.15,end,B,0.04771455,0.00909515,
,TP3,False,False,False,0.15,begin,き,0.01798041,0.01140392,1.183582
