ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,FALSE,FALSE,FALSE,0.15,end,な,0.001189366,-0.000979478,
,TP3,FALSE,FALSE,FALSE,0.15,begin,つ,-0.02252799,-0.006366605,1.002365
,TP3,FALSE,FALSE,FALSE,0.15,end,つ,-0.01854011,0.006296642,
,TP3,FALSE,FALSE,FALSE,0.15,begin,す,0.02084888,0.01021455,1.392387
,TP3,FALSE,FALSE,FALSE,0.15,end,す,0.0270056,0.02070896,
,TP3,FALSE,FALSE,FALSE,0.15,begin,さ,0.01791045,0.009235075,1.267288
,TP3,FALSE,FALSE,FALSE,0.15,end,さ,0.02049907,0.006156716,
,TP3,FALSE,FALSE,FALSE,0.15,begin,に,0.003078358,-0.007905784,0.9606705
,TP3,FALSE,FALSE,FALSE,0.15,end,に,-0.01182369,-0.006016791,
,TP3,FALSE,FALSE,FALSE,0.15,begin,わ,0.002028918,-0.02602612,1.280777
,TP3,FALSE,FALSE,FALSE,0.15,end,わ,0.000839552,-0.02280784,
,TP3,FALSE,FALSE,FALSE,0.15,begin,こ,0.002168843,0.01742071,1.16996
,TP3,FALSE,FALSE,FALSE,0.15,end,こ,0.004267724,0.004337687,
,TP3,FALSE,FALSE,FALSE,0.15,begin,う,-0.01217351,0.01007463,1.211258
,TP3,FALSE,FALSE,FALSE,0.15,end,う,-0.01308302,0.01847015,
,TP3,FALSE,FALSE,FALSE,0.15,begin,て,-0.01665112,-0.001539179,1.406067
,TP3,FALSE,FALSE,FALSE,0.15,end,て,0.004267724,-0.001399254,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ふ,0.01616138,-0.004197761,1.698357
,TP3,FALSE,FALSE,FALSE,0.15,end,ふ,0.01854011,0.006156716,
,TP3,FALSE,FALSE,FALSE,0.15,begin,り,0.02056903,-0.01525187,1.47599
,TP3,FALSE,FALSE,FALSE,0.15,end,り,0.008255597,-0.0181903,
,TP3,FALSE,FALSE,FALSE,0.15,begin,？,0.01861008,-0.02742537,1.58744
,TP3,FALSE,FALSE,FALSE,0.15,end,？,0.0211987,-0.01021455,
,TP3,FALSE,FALSE,FALSE,0.15,begin,変,-0.02658582,-0.02252799,1.768684
,TP3,FALSE,FALSE,FALSE,0.15,end,変,-0.02483675,-0.02238806,
,TP3,FALSE,FALSE,FALSE,0.15,begin,を,0.002518657,-0.02301772,1.19754
,TP3,FALSE,FALSE,FALSE,0.15,end,を,0.006086754,-0.008395523,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ひ,0.0217584,0.000279851,1.503929
,TP3,FALSE,FALSE,FALSE,0.15,end,ひ,0.005387127,0.000349814,
,TP3,FALSE,FALSE,FALSE,0.15,begin,け,-0.002588619,0.01399254,1.545166
,TP3,FALSE,FALSE,FALSE,0.15,end,け,0.02560634,0.01630131,
End,,,,,,,,,,
