ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
A,TP3,FALSE,FALSE,FALSE,0.15,end,変,0.009025187,-0.002378732,
,TP3,FALSE,FALSE,FALSE,0.15,begin,か,0.005107276,0.0140625,1.267745
,TP3,FALSE,FALSE,FALSE,0.15,end,か,0.004827425,0.01014459,
,TP3,FALSE,FALSE,FALSE,0.15,begin,な,0.004897388,-0.001469216,1.124777
,TP3,FALSE,FALSE,FALSE,0.15,end,な,0.007206157,-0.003708023,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ん,0.002448694,-0.03302239,1.109839
,TP3,FALSE,FALSE,FALSE,0.15,end,ん,0.008745336,-0.02329758,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ろ,0.03085355,-0.01420243,1.406357
,TP3,FALSE,FALSE,FALSE,0.15,end,ろ,0.03260261,-0.02847482,
,TP3,FALSE,FALSE,FALSE,0.15,begin,は,0.0292444,-0.00650653,1.239227
,TP3,FALSE,FALSE,FALSE,0.15,end,は,0.03015392,-0.00832556,
,TP3,FALSE,FALSE,FALSE,0.15,begin,は,0.02735541,-0.01098414,2.994252
,TP3,FALSE,FALSE,FALSE,0.15,end,は,0.02861474,-0.01154384,
,TP3,FALSE,FALSE,FALSE,0.15,begin,い,-0.00104944,0.000139925,1.28167
,TP3,FALSE,FALSE,FALSE,0.15,end,い,-0.02609608,0.000279851,
,TP3,FALSE,FALSE,FALSE,0.15,begin,を,0.008885262,-0.03554105,1.323227
,TP3,FALSE,FALSE,FALSE,0.15,end,を,0.01105411,-0.01721082,
,TP3,FALSE,FALSE,FALSE,0.15,begin,S,0.05030317,-0.005177239,1.741009
,TP3,FALSE,FALSE,FALSE,0.15,end,S,0.05037314,-0.005387127,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ゆ,0.01231343,-0.01378265,1.072681
,TP3,FALSE,FALSE,FALSE,0.15,end,ゆ,0.01315299,0.003288246,
,TP3,FALSE,FALSE,FALSE,0.15,begin,え,-0.01574161,0.01525187,1.267178
,TP3,FALSE,FALSE,FALSE,0.15,end,え,0.02238806,0.01392257,
,TP3,FALSE,FALSE,FALSE,0.15,begin,て,-0.01742071,-0.003777985,1.281507
,TP3,FALSE,FALSE,FALSE,0.15,end,て,0.0129431,-0.001259328,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ふ,0.02770522,-0.005597015,1.295279
,TP3,FALSE,FALSE,FALSE,0.15,end,ふ,0.02987407,0.005037314,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ん,0.000279851,-0.03428172,1.281866
,TP3,FALSE,FALSE,FALSE,0.15,end,ん,0.000349814,-0.02861474,
,TP3,FALSE,FALSE,FALSE,0.15,begin,わ,0.001888993,-0.0305737,10.12338
,TP3,FALSE,FALSE,FALSE,0.15,end,わ,0.003008396,-0.02861474,
,TP3,FALSE,FALSE,FALSE,0.15,begin,り,0.02686567,-0.01895989,1.364994
,TP3,FALSE,FALSE,FALSE,0.15,end,り,0.0104944,-0.01686101,
,TP3,FALSE,FALSE,FALSE,0.15,begin,さ,0.02490672,0.009864739,1.295654
,TP3,FALSE,FALSE,FALSE,0.15,end,さ,0.0275653,0.00832556,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ほ,0.0270056,-0.006226679,1.114105
,TP3,FALSE,FALSE,FALSE,0.15,end,ほ,0.02847482,-0.01721082,
,TP3,FALSE,FALSE,FALSE,0.15,begin,き,0.01154384,0.01154384,1.294792
,TP3,FALSE,FALSE,FALSE,0.15,end,き,-0.006996269,0.007625933,
,TP3,FALSE,FALSE,FALSE,0.15,begin,、,0.02490672,-0.02714552,1.615086
,TP3,FALSE,FALSE,FALSE,0.15,end,、,0.02602612,-0.0270056,
,TP3,FALSE,FALSE,FALSE,0.15,begin,、,0.02322761,-0.02672575,2.993774
,TP3,FALSE,FALSE,FALSE,0.15,end,、,0.02210821,-0.02539646,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ひ,0.02609608,-0.001609142,1.253204
,TP3,FALSE,FALSE,FALSE,0.15,end,ひ,0.004477612,-0.004197761,
,TP3,FALSE,FALSE,FALSE,0.15,begin,う,-0.0104944,0.005107276,1.740311
,TP3,FALSE,FALSE,FALSE,0.15,end,う,-0.002938433,0.01623134,
