ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,FALSE,FALSE,FALSE,0.15,end,な,0.001329291,-0.002378732,
,TP3,FALSE,FALSE,FALSE,0.15,begin,て,-0.02056903,0,1.406466
,TP3,FALSE,FALSE,FALSE,0.15,end,て,-0.01154384,-0.003358209,
,TP3,FALSE,FALSE,FALSE,0.15,begin,る,0.02749534,-0.01784049,3.354679
,TP3,FALSE,FALSE,FALSE,0.15,end,る,0.03176306,-0.003568097,
,TP3,FALSE,FALSE,FALSE,0.15,begin,へ,0.02245802,-0.00286847,1.699585
,TP3,FALSE,FALSE,FALSE,0.15,end,へ,0.02497668,-0.004617537,
,TP3,FALSE,FALSE,FALSE,0.15,begin,、,0.02665578,-0.03120336,3.021748
,TP3,FALSE,FALSE,FALSE,0.15,end,、,0.01721082,-0.01700093,
,TP3,FALSE,FALSE,FALSE,0.15,begin,る,0.02609608,-0.01644123,2.144958
,TP3,FALSE,FALSE,FALSE,0.15,end,る,0.03260261,0.005806903,
,TP3,FALSE,FALSE,FALSE,0.15,begin,？,0.03043377,-0.02777519,1.727364
,TP3,FALSE,FALSE,FALSE,0.15,end,？,0.03029384,-0.0193097,
,TP3,FALSE,FALSE,FALSE,0.15,begin,り,0.03071362,-0.01574161,2.353897
,TP3,FALSE,FALSE,FALSE,0.15,end,り,0.01749067,-0.01609142,
,TP3,FALSE,FALSE,FALSE,0.15,begin,み,-0.005107276,-0.01483209,1.351061
,TP3,FALSE,FALSE,FALSE,0.15,end,み,-0.02742537,-0.01965952,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ま,-0.01602146,-0.01854011,1.57975
,TP3,FALSE,FALSE,FALSE,0.15,end,ま,-0.01441231,-0.02098881,
,TP3,FALSE,FALSE,FALSE,0.15,begin,や,0.004267724,-0.01868004,0.9688721
,TP3,FALSE,FALSE,FALSE,0.15,end,や,0.007346082,-0.02315765,
,TP3,FALSE,FALSE,FALSE,0.15,begin,く,0.006156716,0.00755597,1.044872
,TP3,FALSE,FALSE,FALSE,0.15,end,く,0.008395523,0.01315299,
,TP3,FALSE,FALSE,FALSE,0.15,begin,わ,0.007416045,-0.03267258,1.518238
,TP3,FALSE,FALSE,FALSE,0.15,end,わ,0.004897388,-0.03309235,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ん,0.006436567,-0.0328125,1.142355
,TP3,FALSE,FALSE,FALSE,0.15,end,ん,0.01098414,-0.01651119,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ぬ,0.007206157,-0.006856344,1.462456
,TP3,FALSE,FALSE,FALSE,0.15,end,ぬ,0.01308302,0.000839552,
,TP3,FALSE,FALSE,FALSE,0.15,begin,む,-0.01756063,-0.02196828,1.387722
,TP3,FALSE,FALSE,FALSE,0.15,end,む,-0.01245336,-0.01203358,
,TP3,FALSE,FALSE,FALSE,0.15,begin,S,0.05058302,-0.004617537,1.82201
,TP3,FALSE,FALSE,FALSE,0.15,end,S,0.05114273,-0.004057836,
,TP3,FALSE,FALSE,FALSE,0.15,begin,く,0.006926306,0.007975747,1.114677
,TP3,FALSE,FALSE,FALSE,0.15,end,く,0.01455224,0.008955224,
,TP3,FALSE,FALSE,FALSE,0.15,begin,せ,0.02336754,0.00832556,1.476593
,TP3,FALSE,FALSE,FALSE,0.15,end,せ,0.05520056,0.008675373,
,TP3,FALSE,FALSE,FALSE,0.15,begin,た,-0.02014926,-0.003708023,1.462543
