ID,HorO,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5
yamaguchi,H,0.01192091,-0.03742832,0.03165112,0.02896455,0.02896455,0.02837687,0.02837687,0.02770523,-0.03593284,-0.03551306,-0.03551306,-0.03492538,-0.03492538,-0.02862873
yamaguchi,H,-0.03387905,0.02932549,-0.02208023,-0.02191232,-0.02191232,-0.02166045,-0.02149254,-0.02140858,0.02014926,0.01880597,0.01872202,0.01847015,0.01821828,0.01771455
yamaguchi,H,0.03724652,0.006824844,0.05876866,0.05717351,0.05717351,0.05666978,0.05666978,0.05625001,-0.006464553,-0.009486941,-0.009486941,-0.01015858,-0.01015858,-0.01183769
yamaguchi,H,0.04926147,-0.02916843,0.06917911,0.06842351,0.06842351,0.06766792,0.06850747,0.06850747,-0.03719217,-0.03652053,-0.03652053,-0.03618471,-0.03492538,-0.03492538
yamaguchi,H,-0.03871325,-0.02824895,-0.04306903,-0.04197761,-0.04197761,-0.04147388,-0.04147388,-0.04097015,-0.03442165,-0.03475747,-0.03475747,-0.03425374,-0.03425374,-0.03282649
yamaguchi,H,-0.06690111,0.005350668,-0.06011194,-0.05910448,-0.05885262,-0.0585168,-0.0585168,-0.05717351,-0.004029851,-0.005708956,-0.005708956,-0.005708956,-0.005708956,-0.005708956
yamaguchi,H,0.01828971,0.01007775,0.04567165,0.04399254,0.04365672,0.04315299,0.04315299,0.04080224,0.001091418,-0.0005876866,-0.0005876866,-0.0005876866,-0.0005876866,-0.0005876866
yamaguchi,H,-0.04333571,0.01693211,-0.03685635,-0.03601679,-0.03601679,-0.03551306,-0.03551306,-0.03517724,0.01007463,0.00738806,0.00738806,0.00545709,0.00545709,0.005121269
yamaguchi,H,-0.03924526,0.01513141,-0.02476679,-0.02140858,-0.02140858,-0.02107276,-0.02065299,-0.02031717,0.00545709,0.001847015,0.001847015,0.001007463,8.395523E-05,-0.0005876866
yamaguchi,H,0,0,0.01351679,0.01486008,0.01486008,0.01502799,0.01527985,0.01494403,-0.01679105,-0.01670709,-0.01670709,-0.01662314,-0.01628732,-0.01595149
yamaguchi,O,-0.03566507,-0.03310739,-0.0288806,-1,-1,-1,-1,-1,-0.04466418,-1,-1,-1,-1,-1
yamaguchi,H,0.01473486,-0.001808379,0.03870336,0.03786381,0.03786381,0.03736008,0.0352612,0.03467351,-0.008059702,-0.007891792,-0.007891792,-0.007723881,-0.007136195,-0.006800374
yamaguchi,H,0.02054414,0.001876961,0.04222948,0.04239739,0.04239739,0.04172575,0.04105411,0.03912314,-0.003190299,-0.003190299,-0.003190299,-0.002434702,-0.002266791,-0.002938433
yamaguchi,H,-0.03584342,-0.02769259,-0.03198694,-0.03232276,-0.03232276,-0.03232276,-0.03156717,-0.03089553,-0.03551306,-0.03307836,-0.03307836,-0.03249067,-0.03114739,-0.02988806
yamaguchi,H,0.06169675,0.01742297,0.07472015,0.0714459,0.0714459,0.07018657,0.07018657,0.06968284,0.01007463,0.008731344,0.008731344,0.008815299,0.008815299,0.00898321
yamaguchi,H,0.03655038,0.02445153,0.04357276,0.04382463,0.04382463,0.04466418,0.04466418,0.04567165,0.0176306,0.0144403,0.0144403,0.01393657,0.01393657,0.01309702
yamaguchi,H,-0.04306945,-0.01948459,-0.03601679,-0.03601679,-0.03601679,-0.03618471,-0.03618471,-0.03618471,-0.03265858,-0.0329944,-0.0329944,-0.03349814,-0.03349814,-0.0345056
yamaguchi,H,0.04328646,-0.007972114,0.05625001,0.05482277,0.05482277,0.0545709,0.05180038,0.05079291,-0.01796642,-0.01964552,-0.01964552,-0.01956157,-0.01821828,-0.01771455
yamaguchi,O,-0.04208511,-0.03582546,-0.0442444,-1,-1,-1,-1,-1,-0.03929105,-1,-1,-1,-1,-1
yamaguchi,H,0,0,0.01427239,0.01477612,0.01477612,0.01385261,0.01385261,0.01250933,-0.003274254,-0.005792911,-0.005792911,-0.006128732,-0.006128732,-0.006296642
yamaguchi,H,0.07220848,0.04228906,0.07581157,0.07262127,0.07262127,0.07262127,0.07194963,0.06951493,0.04055038,0.03635262,0.03635262,0.03635262,0.03618471,0.03534515
yamaguchi,H,-0.00363335,0.008463558,-0.007723881,-0.005792911,-0.005625,-0.005625,-0.005373135,-0.005373135,0.0003358209,-0.001679105,-0.00193097,-0.00193097,-0.003190299,-0.003190299
yamaguchi,H,0.05557258,-0.01728344,0.06195896,0.05960821,0.05960821,0.05918844,0.05868471,0.05834889,-0.02443097,-0.02510261,-0.02510261,-0.02501866,-0.02485075,-0.02468284
yamaguchi,H,-0.009934902,0.03830863,-0.007472015,-0.008731344,-0.008731344,-0.008647389,-0.008647389,-0.006968284,0.02720149,0.02451493,0.02451493,0.02426306,0.02426306,0.02342351
yamaguchi,H,0.03047763,-0.03884761,0.02930037,0.02946829,0.02946829,0.02946829,0.02946829,0.02946829,-0.03803172,-0.0320709,-0.03156717,-0.03089553,-0.03047575,-0.03047575
yamaguchi,H,-0.01228365,-0.03786404,-0.02753732,-0.02703358,-0.02703358,-0.02703358,-0.02762127,-0.02762127,-0.03249067,-0.03123135,-0.03123135,-0.03123135,-0.03114739,-0.03114739
yamaguchi,H,-0.07371566,-0.004740305,-0.06968284,-0.06859142,-0.06859142,-0.06859142,-0.06859142,-0.06800374,-0.003358209,-0.005792911,-0.005792911,-0.006044777,-0.006044777,-0.007472015
yamaguchi,H,0.05356793,0.01392207,0.07505598,0.07346082,0.07346082,0.07111008,0.07111008,0.07018657,0.006548508,0.004617538,0.004617538,0.003777985,0.003777985,0.002938433
yamaguchi,O,0.06550181,-0.02998376,0.07841419,-1,-1,-1,-1,-1,-0.03022388,-1,-1,-1,-1,-1
yamaguchi,H,0,0,-0.004533582,-0.004785448,-0.004785448,-0.004617538,-0.003861941,-0.002686567,-0.003106344,-0.005121269,-0.005121269,-0.005121269,-0.005121269,-0.005205224
yamaguchi,H,0.02246924,0.02106772,0.02846082,0.02636194,0.02636194,0.02535448,0.02535448,0.02468284,0.02115672,0.01880597,0.01880597,0.01712687,0.01712687,0.01569963
yamaguchi,H,-0.06767308,0.03015634,-0.05566232,-0.05515859,-0.05515859,-0.05515859,-0.05515859,-0.05515859,0.01729478,0.01477612,0.01477612,0.01435634,0.01435634,0.01435634
yamaguchi,H,-0.05727622,-0.01800261,-0.03551306,-0.03668844,-0.03702426,-0.03811568,-0.03895523,-0.04004664,-0.0305597,-0.03072761,-0.03072761,-0.03072761,-0.03064366,-0.03047575
yamaguchi,H,-0.04083654,-0.02102988,-0.02266791,-0.02409515,-0.02409515,-0.02476679,-0.02476679,-0.02527052,-0.03005597,-0.03064366,-0.03064366,-0.03047575,-0.03047575,-0.03030784
yamaguchi,H,0.07046001,0.02643362,0.07916978,0.07396456,0.07396456,0.07379664,0.07379664,0.07354479,0.01569963,0.01477612,0.01477612,0.01477612,0.01477612,0.01477612
yamaguchi,H,-0.01898093,0.0001570843,-0.008731344,-0.007555971,-0.007555971,-0.007304105,-0.007304105,-0.006464553,-0.01754664,-0.01653918,-0.01653918,-0.01637127,-0.01637127,-0.01603545
yamaguchi,H,0.03635916,-0.01333482,0.04063433,0.0401306,0.0401306,0.0401306,0.03996269,0.03996269,-0.03223881,-0.03240672,-0.03240672,-0.03240672,-0.03265858,-0.03265858
yamaguchi,H,-0.07976304,-0.01447605,-0.07337687,-0.07094217,-0.07094217,-0.0706903,-0.0706903,-0.07027053,-0.02661381,-0.02602612,-0.02602612,-0.02577426,-0.02577426,-0.02577426
yamaguchi,H,0.06826767,-0.01371568,0.07152986,0.07018657,0.07010262,0.07027053,0.07027053,0.07278918,-0.02417911,-0.02560635,-0.02560635,-0.02552239,-0.02552239,-0.02510261
yamaguchi,H,0,0,-0.0009235076,-0.001175373,-0.001175373,-0.001175373,-0.001343284,-0.001343284,-0.007891792,-0.008647389,-0.008647389,-0.008647389,-0.008647389,-0.008647389
yamaguchi,H,-0.06817025,0.02158739,-0.06212687,-0.06145523,-0.06153918,-0.06170709,-0.06179105,-0.061875,0.006044777,0.004701493,0.004617538,0.004533582,0.004533582,0.004533582
yamaguchi,O,0.07821132,-0.03594916,0.07841419,-1,-1,-1,-1,-1,-0.03744403,-1,-1,-1,-1,-1
yamaguchi,O,0.05406766,-0.03895646,0.05347948,-1,-1,-1,-1,-1,-0.04416045,-1,-1,-1,-1,-1
yamaguchi,H,-0.0388128,0.006630868,-0.04097015,-0.04004664,-0.04004664,-0.039375,-0.039375,-0.0384515,-0.002350746,-0.004785448,-0.004785448,-0.005205224,-0.005205224,-0.005792911
yamaguchi,H,0.04344825,0.02410965,0.06355411,0.06456158,0.06456158,0.06456158,0.06439366,0.06439366,0.01032649,0.009990673,0.009990673,0.009990673,0.009570897,0.009570897
yamaguchi,H,-0.03198601,0.00427499,-0.0256903,-0.02426306,-0.02426306,-0.02224814,-0.02224814,-0.0193097,-0.01737873,-0.01721082,-0.01721082,-0.01695896,-0.01695896,-0.0161194
yamaguchi,H,0.0007743761,0.02665363,-0.002014925,-0.002350746,-0.002350746,-0.003022388,-0.004281717,-0.004449627,0.009906718,0.006548508,0.006548508,0.005625,0.004869403,0.004617538
yamaguchi,H,-0.06953644,0.0332047,-0.06397389,-0.06246269,-0.06246269,-0.06246269,-0.06246269,-0.06246269,0.008563434,0.006800374,0.006800374,0.006380598,0.006128732,0.006044777
yamaguchi,H,-0.0154278,0.03137147,-0.01637127,-0.0161194,-0.0161194,-0.01628732,-0.01628732,-0.01645523,0.01418843,0.01192164,0.01192164,0.01057836,0.01057836,0.01015858
yamaguchi,H,0,0,0.006380598,0.005541045,0.005541045,0.005121269,0.004701493,0.004701493,-0.01527985,-0.01679105,-0.01679105,-0.01679105,-0.01662314,-0.01662314
End
