ID,HorO,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5
yamaguchi,H,0.06795606,0.02184893,0.06951493,0.06514926,0.0648974,0.0648974,0.06422575,0.06422575,0.01796642,0.01737873,0.01729478,0.01729478,0.01729478,0.01729478
yamaguchi,H,0.07268681,0.01554409,0.07606344,0.07379664,0.07379664,0.07211754,0.07211754,0.06959888,0.006380598,0.005708956,0.005708956,0.005708956,0.005708956,0.01712687
yamaguchi,H,-0.06864793,0.04175606,-0.061875,-0.06103545,-0.06103545,-0.06053172,-0.06053172,-0.05977612,0.03962687,0.03408583,0.03408583,0.03223881,0.03223881,0.03081157
yamaguchi,H,0.05918479,-0.02714095,0.04919777,0.0481903,0.0481903,0.0465112,0.0465112,0.04432836,-0.02065299,-0.02182836,-0.02182836,-0.02191232,-0.02191232,-0.02182836
yamaguchi,H,-0.07900302,-0.0124158,-0.07799441,-0.07178172,-0.07178172,-0.07094217,-0.07094217,-0.07077426,-0.006464553,-0.006632463,-0.006632463,-0.006464553,-0.006464553,-0.006296642
yamaguchi,H,-0.007793844,-0.03249508,-0.003610075,-0.006380598,-0.006380598,-0.007891792,-0.007891792,-0.008563434,-0.02669776,-0.02770523,-0.02770523,-0.02770523,-0.02770523,-0.02820896
yamaguchi,H,0.06324983,-0.0423246,0.06422575,0.06430971,0.06430971,0.06246269,0.06246269,0.06229478,-0.03576493,-0.03618471,-0.03618471,-0.03551306,-0.03551306,-0.03534515
yamaguchi,H,0.0155199,-0.01458342,0.02048508,0.01972948,0.01956157,0.01956157,0.01922575,0.01897388,-0.01326493,-0.0144403,-0.0144403,-0.0144403,-0.01402052,-0.01284515
yamaguchi,H,0.01538475,0.03922494,0.01192164,0.01099814,0.01099814,0.01099814,0.008731344,0.008731344,0.04449627,0.03601679,0.03601679,0.03601679,0.03282649,0.03282649
yamaguchi,H,0,0,-0.001259328,-0.001091418,-0.001091418,-0.001007463,-0.001007463,-0.0006716418,0.002350746,0,0,-8.395523E-05,-8.395523E-05,-0.0002518657
yamaguchi,H,0.03081506,-0.01816284,0.03593284,0.03249067,0.03249067,0.0313153,0.03005597,0.0296362,-0.02124067,-0.02023321,-0.02023321,-0.01981344,-0.01888993,-0.01746269
yamaguchi,H,-0.02394465,-0.04336359,-0.02837687,0.01872202,0.01872202,0.01872202,0.01872202,0.01872202,-0.04466418,-0.02056903,-0.02056903,-0.02056903,-0.02056903,-0.02056903
yamaguchi,H,-0.07141941,-0.04105097,-0.07320896,-0.07555971,-0.07555971,-0.07614739,-0.07614739,-1,-0.03660448,-0.03702426,-0.03702426,-0.03593284,-0.03593284,-1
yamaguchi,H,-0.04684586,-0.01658293,-0.03727612,-0.03551306,-0.03551306,-0.03584888,-0.03635262,-0.03660448,-0.01553172,-0.01427239,-0.01427239,-0.01343284,-0.01234142,-0.01183769
yamaguchi,H,0.04789983,-0.01493924,0.05658583,0.05431904,0.05431904,0.05373135,0.05373135,0.05171642,-0.01628732,-0.01486008,-0.01486008,-0.01452425,-0.01452425,-0.01351679
yamaguchi,H,0.02997599,-0.01102763,0.02342351,0.02468284,0.02501866,0.02501866,0.03039179,0.03039179,-0.009067165,-0.01108209,-0.0120056,-0.0120056,-0.01292911,-0.01292911
yamaguchi,H,-0.07011528,0.03077766,-0.06649254,-0.06296642,-0.06296642,-0.06145523,-0.06145523,-0.06111941,0.02611008,0.02485075,0.02485075,0.02459888,0.02459888,0.02426306
yamaguchi,H,0.0606747,-0.00389782,0.06137127,0.06296642,0.06296642,0.06405784,0.06456158,0.06464553,-0.01628732,-0.01351679,-0.01351679,-0.01225746,-0.01166978,-0.01066231
yamaguchi,H,-0.01924266,-0.01548072,-0.02375933,-0.02300373,-0.02300373,-0.02266791,-0.02266791,-0.02191232,-0.02753732,-0.02652985,-0.02652985,-0.0264459,-0.0264459,-0.02636194
yamaguchi,H,0,0,0.001595149,0.0001679105,0.0001679105,-0.0007555971,-0.0007555971,-0.001343284,-0.005876866,-0.006968284,-0.006968284,-0.007555971,-0.007555971,-0.008059702
yamaguchi,H,0.006792717,0.0001036488,0.009319031,0.009402986,0.009402986,0.009402986,0.009067165,0.008143658,-0.006128732,-0.006044777,-0.006044777,-0.006044777,-0.005876866,-0.005708956
yamaguchi,H,0.03143822,0.0207293,0.03005597,0.02896455,0.02896455,0.02652985,0.02652985,0.02501866,0.01360075,0.01074627,0.01074627,0.009235076,0.009235076,0.008395523
yamaguchi,H,0.04023523,0.02932411,0.03761194,0.03878732,0.03878732,0.03870336,0.03870336,0.03811568,0.02149254,0.02107276,0.02107276,0.02124067,0.02124067,0.02208023
yamaguchi,H,0.04486772,0.009140551,0.03878732,0.03971082,0.03971082,0.03929105,0.03929105,0.03870336,-0.003777985,-0.00193097,-0.00193097,-0.001007463,-0.001007463,-0.0005876866
yamaguchi,H,-0.0350729,0.02696455,-0.03139926,-0.03391791,-0.03391791,-0.03492538,-0.03492538,-0.03366605,0.02384328,0.02216418,0.02216418,0.02166045,0.02166045,0.02056903
yamaguchi,H,-0.07729392,-0.01461919,-0.06800374,-0.06514926,-0.06514926,-0.06514926,-0.0641418,-0.06254665,-0.01595149,-0.01544776,-0.01544776,-0.01544776,-0.01477612,-0.01351679
yamaguchi,H,-0.05166129,-0.002900656,-0.0418097,-0.04281717,-0.04281717,-0.04290112,-0.04273321,-0.04231344,-0.004197761,-0.005708956,-0.005708956,-0.005876866,-0.005960821,-0.006380598
yamaguchi,H,0.07419918,-0.01193429,0.07631531,0.06666046,0.06296642,0.06296642,0.04852612,0.04852612,-0.01779851,-0.01427239,-0.01259328,-0.01259328,-0.006380598,-0.006380598
yamaguchi,H,-0.0459068,-0.02984328,-0.03744403,-0.03870336,-0.03870336,-0.04004664,-0.04004664,-0.0408862,-0.02720149,-0.028125,-0.028125,-0.02930037,-0.02930037,-0.03039179
yamaguchi,H,0,0,0.00369403,0.004029851,0.004029851,0.003022388,0.003022388,0.0008395523,0.002854478,0.004029851,0.004029851,0.003106344,0.003106344,0.001175373
