ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time
1,3,TP3,False,False,False,0.3,end,お,-0.0525,0.024875,0.01561567,,,,,,0.001511194,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,を,-0.0175,-0.038875,-0.005121269,-0.01259328,-0.01259328,-0.01284515,-0.01284515,-0.01083022,-0.02862873,-0.03072761,-0.03072761,-0.03173508,-0.03173508,-0.03492538,-1,-1,2.104913
1,3,TP3,False,False,False,0.3,end,を,-0.0175,-0.038875,-0.04130597,,,,,,-0.03274254,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,？,0.0175,-0.038875,0.02417911,0.02426306,0.02426306,0.02602612,0.02602612,0.03316231,-0.03408583,-0.03139926,-0.03139926,-0.03156717,-0.03156717,-0.03383396,-1,-1,2.645587
1,3,TP3,False,False,False,0.3,end,？,0.0175,-0.038875,-1,,,,,,-1,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,さ,0.0175,0.024875,0.03165112,0.01788246,0.01788246,0.01779851,0.01779851,-1,0.01872202,0.005708956,0.005708956,0.00528918,0.00528918,-1,-1,-1,2.923871
1,3,TP3,False,False,False,0.3,end,さ,0.0175,0.024875,0.03047575,,,,,,0.01729478,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,み,-0.0525,-0.017625,-0.0401306,-0.04055038,-0.04483209,-0.02485075,-0.02485075,-0.02485075,-0.01956157,-0.01788246,-0.01460821,-0.003610075,-0.003610075,-0.003610075,-1,-1,2.127481
1,3,TP3,False,False,False,0.3,end,み,-0.0525,-0.017625,-0.07094217,,,,,,-0.01670709,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,め,-0.0525,-0.017625,-0.06321829,-0.0465112,-0.04323694,-0.04029851,-0.04029851,-0.03568097,-0.02317164,-0.02434702,-0.02443097,-0.02384328,-0.02384328,-0.01586754,-1,-1,2.509217
1,3,TP3,False,False,False,0.3,end,め,-0.0525,-0.017625,-0.01309702,,,,,,-0.01477612,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,ふ,0.0175,0.003625,0.02846082,-0.0007555971,-0.0007555971,-0.008563434,-0.01385261,-0.01544776,-0.001679105,-0.003442165,-0.003442165,-0.005205224,-0.008227613,-0.009990673,-1,-1,2.187658
1,3,TP3,False,False,False,0.3,end,ふ,0.0175,0.003625,0.039375,,,,,,0.02552239,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,も,-0.0525,-0.017625,-0.05247202,-0.04701493,-0.04701493,-0.04097015,-0.04097015,-0.03492538,-0.02107276,-0.01679105,-0.01679105,-0.01712687,-0.01712687,-0.01553172,-1,-1,2.421791
1,3,TP3,False,False,False,0.3,end,も,-0.0525,-0.017625,-0.05507463,,,,,,-0.03534515,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.05507463,-0.04558769,-0.04558769,-0.04558769,-0.04617538,-0.04709888,-0.03828359,-0.0296362,-0.0296362,-0.02879664,-0.02913246,-0.0296362,-1,-1,2.492964
1,3,TP3,False,False,False,0.3,end,変,-0.0525,-0.038875,-0.05507463,,,,,,-0.03593284,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,み,-0.0525,-0.017625,-0.04986941,-0.05205224,-0.05205224,-0.05238806,-0.05238806,-0.05263993,-0.01595149,-0.02132463,-0.02132463,-0.0320709,-0.0320709,-0.03626866,-1,-1,1.990625
1,3,TP3,False,False,False,0.3,end,み,-0.0525,-0.017625,-0.07060635,,,,,,-0.01695896,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,ふ,0.0175,0.003625,0.0232556,0.02014926,0.01788246,0.01435634,0.01435634,-1,-0.005205224,0.001595149,0.002938433,0.00722015,0.00722015,-1,-1,-1,2.770374
1,3,TP3,False,False,False,0.3,end,ふ,0.0175,0.003625,0.03442165,,,,,,0.02527052,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,あ,-0.0525,0.024875,-0.04432836,-0.03677239,-0.03307836,-0.03240672,-0.03240672,-1,0.0200653,0.01561567,0.01695896,0.01704291,0.01704291,-1,-1,-1,2.339911
1,3,TP3,False,False,False,0.3,end,あ,-0.0525,0.024875,-0.03610075,,,,,,0.01947761,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,る,0.0175,-0.017625,0.02350746,0.01888993,0.01888993,0.0120056,0.0120056,-0.0005876866,-0.02938433,-0.03039179,-0.03039179,-0.03022388,-0.03022388,-0.02661381,-1,-1,2.060472
1,3,TP3,False,False,False,0.3,end,る,0.0175,-0.017625,0.02896455,,,,,,0.002518657,,,,,,-1,-1,
