ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,delta time
1,3,TP3,False,False,False,0.3,end,ー,-0.0175,-0.038875,0.01245336,,,,,,-0.0245569,,,,,,
1,3,TP3,False,False,False,0.3,begin,や,-0.0175,-0.017625,-0.008535448,-0.00909515,-0.00909515,-0.006646455,-0.006646455,-0.003288246,-0.006366605,-0.01497202,-0.01497202,-0.02154851,-0.02154851,-0.0234375,2.952011
1,3,TP3,False,False,False,0.3,end,や,-0.0175,-0.017625,-0.007835821,,,,,,-0.006366605,,,,,,
1,3,TP3,False,False,False,0.3,begin,わ,-0.0175,-0.038875,-0.01280317,-0.008955224,-0.008115672,-0.006226679,-0.004477612,-0.004477612,-0.02819496,-0.02567631,-0.02518657,-0.02336754,-0.02063899,-0.02063899,2.047653
1,3,TP3,False,False,False,0.3,end,わ,-0.0175,-0.038875,-0.01161381,,,,,,-0.02910448,,,,,,
1,3,TP3,False,False,False,0.3,begin,し,0.0175,0.024875,0.02518657,0.02462687,0.02476679,0.02476679,0.0292444,0.0292444,0.02630597,0.02441698,0.02224814,0.02224814,0.01511194,0.01511194,2.339188
1,3,TP3,False,False,False,0.3,end,し,0.0175,0.024875,-0.004827425,,,,,,0.02315765,,,,,,
1,3,TP3,False,False,False,0.3,begin,あ,-0.0525,0.024875,-0.02672575,-0.02168843,-0.02168843,-0.02070896,-0.01944963,-0.01770056,0.02616605,0.0245569,0.0245569,0.02462687,0.02462687,0.02441698,2.994476
1,3,TP3,False,False,False,0.3,end,あ,-0.0525,0.024875,-0.02504664,,,,,,0.02469683,,,,,,
1,3,TP3,False,False,False,0.3,begin,の,-0.0175,0.003625,-0.0006996269,0.0009794777,0.001469216,0.001888993,0.001888993,0.0006296642,0.01126399,0.008255597,0.007835821,0.00727612,0.00727612,0.008115672,2.229599
1,3,TP3,False,False,False,0.3,end,の,-0.0175,0.003625,-0.001189366,,,,,,-0.004897388,,,,,,
1,3,TP3,False,False,False,0.3,begin,に,-0.0175,0.003625,0.002588619,0.003987873,0.003847948,0.003847948,0.003847948,0.003847948,0.01098414,0.007695896,0.005876866,0.005876866,0.002588619,0.002588619,2.548538
1,3,TP3,False,False,False,0.3,end,に,-0.0175,0.003625,-0.01784049,,,,,,0.01091418,,,,,,
1,3,TP3,False,False,False,0.3,begin,B,0.0525,0.024875,0.05555037,0.05659981,0.05659981,0.05366138,0.05051306,0.04393657,0.01993937,0.01951959,0.01951959,0.01714086,0.01504198,0.01336287,2.41008
1,3,TP3,False,False,False,0.3,end,B,0.0525,0.024875,0.05757929,,,,,,0.01951959,,,,,,
1,3,TP3,False,False,False,0.3,begin,？,0.0175,-0.038875,0.02588619,0.02546642,0.02546642,-1,-1,-1,-0.03176306,-0.03218284,-0.03218284,-1,-1,-1,3.424713
1,3,TP3,False,False,False,0.3,end,？,0.0175,-0.038875,-1,,,,,,-1,,,,,,
1,3,TP3,False,False,False,0.3,begin,な,-0.0175,0.003625,-0.0002098881,0.001469216,0.00104944,0.00104944,0.002588619,0.002588619,0.008255597,0.006226679,0.005317165,0.005317165,0.003987873,0.003987873,3.523254
1,3,TP3,False,False,False,0.3,end,な,-0.0175,0.003625,6.996269E-05,,,,,,0.008395523,,,,,,
End
