ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,delta time
1,3,TP3,False,False,False,0.3,end,？,0.0175,-0.038875,0.02847482,,,,,,-0.0001399254,,,,,,
1,3,TP3,False,False,False,0.3,begin,し,0.0175,0.024875,0.03903918,0.0386194,0.0386194,0.03631064,0.03631064,0.0328125,0.02385728,0.01993937,0.01993937,0.01833022,0.01833022,0.01651119,2.243433
1,3,TP3,False,False,False,0.3,end,し,0.0175,0.024875,0.01259328,,,,,,0.0239972,,,,,,
1,3,TP3,False,False,False,0.3,begin,れ,0.0175,-0.017625,0.02931437,0.03022388,0.03127332,0.03260261,0.03260261,0.0363806,-0.008885262,-0.01021455,-0.01091418,-0.01126399,-0.01126399,-0.01021455,2.783413
1,3,TP3,False,False,False,0.3,end,れ,0.0175,-0.017625,0.05380131,,,,,,-0.01021455,,,,,,
1,3,TP3,False,False,False,0.3,begin,た,-0.0525,0.003625,-0.0292444,-0.02672575,-0.0264459,-0.0264459,-0.0264459,-0.02623601,0.009654851,0.006156716,0.004827425,0.004827425,0.003847948,0.003078358,2.868155
1,3,TP3,False,False,False,0.3,end,た,-0.0525,0.003625,-0.02588619,,,,,,0.008745336,,,,,,
1,3,TP3,False,False,False,0.3,begin,け,-0.0175,0.024875,-0.009584889,-0.007066232,-0.007066232,-0.008395523,-0.008395523,-0.01161381,0.02784515,0.02154851,0.02154851,0.01476213,0.01476213,0.008955224,2.130445
1,3,TP3,False,False,False,0.3,end,け,-0.0175,0.024875,0.02105877,,,,,,0.02665578,,,,,,
1,3,TP3,False,False,False,0.3,begin,そ,0.0175,0.024875,0.02889459,0.02819496,0.02658582,0.02658582,0.02357743,0.02357743,0.02903452,0.02483675,0.02350746,0.02350746,0.01840019,0.01840019,2.465212
1,3,TP3,False,False,False,0.3,end,そ,0.0175,0.024875,0.03176306,,,,,,0.01154384,,,,,,
1,3,TP3,False,False,False,0.3,begin,な,-0.0175,0.003625,-0.004337687,-0.002588619,-0.002588619,-0.0004897388,0.0001399254,0.003008396,0.009165112,0.003218284,0.003218284,0.004827425,0.005736941,0.008115672,2.494204
1,3,TP3,False,False,False,0.3,end,な,-0.0175,0.003625,-0.003008396,,,,,,0.005876866,,,,,,
1,3,TP3,False,False,False,0.3,begin,ま,-0.0525,-0.017625,-0.03253265,-0.03358209,-0.03372202,-0.03421175,-0.007206157,-0.007206157,-0.006786381,-0.008535448,-0.008535448,-0.008885262,-0.00104944,-0.00104944,2.270105
1,3,TP3,False,False,False,0.3,end,ま,-0.0525,-0.017625,-0.02959422,,,,,,-0.006436567,,,,,,
1,3,TP3,False,False,False,0.3,begin,た,-0.0525,0.003625,-0.03400187,-0.02952426,-0.02581623,-0.0234375,-0.0234375,-0.02105877,0.01224347,0.009934702,0.007905784,0.005806903,0.005806903,0.001539179,2.047867
1,3,TP3,False,False,False,0.3,end,た,-0.0525,0.003625,-0.03260261,,,,,,0.01126399,,,,,,
1,3,TP3,False,False,False,0.3,begin,E,0.0525,-0.028875,0.05275187,0.05030317,0.05030317,0.05002332,0.05002332,-0.00860541,-0.01993937,-0.02378731,-0.02378731,-0.02546642,-0.02546642,0.01336287,2.590343
1,3,TP3,False,False,False,0.3,end,E,0.0525,-0.028875,0.0510028,,,,,,-0.02021922,,,,,,
1,3,TP3,False,False,False,0.3,begin,へ,0.0175,0.003625,0.01798041,0.01840019,0.01902985,0.01902985,0.02259795,0.02259795,0.005876866,0.003847948,0.003777985,0.003777985,0.003847948,0.003847948,2.215515
1,3,TP3,False,False,False,0.3,end,へ,0.0175,0.003625,0.04134795,,,,,,0.006716418,,,,,,
1,3,TP3,False,False,False,0.3,begin,ほ,0.0175,0.003625,0.02728545,0.0217584,0.0217584,0.0198694,0.01861008,0.0176306,0.008885262,0.007905784,0.007905784,0.00755597,0.00727612,0.007416045,2.408215
1,3,TP3,False,False,False,0.3,end,ほ,0.0175,0.003625,0.02532649,,,,,,-0.004897388,,,,,,
1,3,TP3,False,False,False,0.3,begin,B,0.0525,0.024875,0.05778918,0.05233209,0.04505597,0.03680037,0.03211287,0.03211287,0.02308769,0.02084888,0.0198694,0.01721082,0.01364272,0.01364272,2.438229
1,3,TP3,False,False,False,0.3,end,B,0.0525,0.024875,0.05527052,,,,,,0.02308769,,,,,,
1,3,TP3,False,False,False,0.3,begin,そ,0.0175,0.024875,0.02791511,0.02497668,0.02504664,0.02532649,0.02532649,0.02742537,0.03015392,0.0239972,0.02217817,0.02035914,0.02035914,0.01693097,2.214268
1,3,TP3,False,False,False,0.3,end,そ,0.0175,0.024875,0.02672575,,,,,,0.01196362,,,,,,
