ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time
1,3,TP3,False,False,False,0.3,end,ー,-0.0175,-0.038875,0.02459888,,,,,,0.004113806,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,S,0.0525,0.003625,0.06456158,0.06892724,0.07043844,0.07094217,0.07094217,0.07119404,0.007975747,0.009654852,0.009738807,0.009402986,0.009402986,0.008479478,-1,-1,2.57793
1,3,TP3,False,False,False,0.3,end,S,0.0525,0.003625,0.06951493,,,,,,0.008227613,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,と,-0.0525,0.003625,-0.04239739,-0.04306903,-0.04306903,-0.04617538,-0.04810635,-0.05020523,0.0104944,0.005708956,0.005708956,0.002854478,0.001259328,-0.002854478,-1,-1,2.464636
1,3,TP3,False,False,False,0.3,end,と,-0.0525,0.003625,-0.03559702,,,,,,-0.0003358209,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,を,-0.0175,-0.038875,-0.001847015,-0.00369403,-0.003945896,-0.004197761,-0.004197761,-0.01721082,-0.03341418,-0.03375,-0.03375,-0.03391791,-0.03391791,-0.03542911,-1,-1,2.617384
1,3,TP3,False,False,False,0.3,end,を,-0.0175,-0.038875,-0.02300373,,,,,,-0.03559702,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,め,-0.0525,-0.017625,-0.04810635,-0.04936568,-0.04936568,-0.03811568,-0.03811568,-0.02577426,-0.01125,-0.01880597,-0.01880597,-0.02350746,-0.02350746,-0.02862873,-1,-1,2.660913
1,3,TP3,False,False,False,0.3,end,め,-0.0525,-0.017625,-0.0176306,,,,,,-0.01402052,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,り,0.0175,-0.017625,0.04449627,0.04659515,0.04659515,0.03333023,0.03333023,0.01939366,-0.0151959,-0.02031717,-0.02031717,-0.02208023,-0.02208023,-0.0200653,-1,-1,2.408701
1,3,TP3,False,False,False,0.3,end,り,0.0175,-0.017625,0.01376866,,,,,,-0.01620336,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,？,0.0175,-0.038875,0.03198694,0.02997202,0.02997202,0.04541978,0.04541978,0.04541978,-0.03920709,-0.03610075,-0.03610075,-0.03761194,-0.03761194,-0.03761194,-1,-1,2.631102
1,3,TP3,False,False,False,0.3,end,？,0.0175,-0.038875,-1,,,,,,-1,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,ち,-0.0525,0.003625,-0.02216418,-0.01947761,-0.01947761,-0.01880597,-0.01880597,-0.01964552,0.003358209,0.0004197762,0.0004197762,-0.0003358209,-0.0003358209,-8.395523E-05,-1,-1,3.425385
