ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time
1,3,TP3,False,False,False,0.3,end,あ,-0.0525,0.024875,0.02946829,,,,,,-0.00915112,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,S,0.0525,0.003625,0.06724814,0.06556904,0.06556904,0.0648974,0.0648974,0.06447762,0.004365672,0.003022388,0.003022388,0.002266791,0.002266791,0.001343284,-1,-1,3.132846
1,3,TP3,False,False,False,0.3,end,S,0.0525,0.003625,0.0609515,,,,,,0.002266791,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,S,0.0525,0.003625,0.06363806,0.05910448,0.05910448,0.05902053,0.05902053,0.05969217,0.005205224,0.003945896,0.003945896,0.003190299,0.003190299,0.002182836,-1,-1,4.170339
1,3,TP3,False,False,False,0.3,end,S,0.0525,0.003625,0.06036381,,,,,,0.004197761,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,を,-0.0175,-0.038875,0.005792911,0.008563434,0.008563434,0.01435634,0.01435634,0.01435634,-0.02879664,-0.0313153,-0.0313153,-0.03559702,-0.03559702,-0.03559702,-1,-1,2.576939
1,3,TP3,False,False,False,0.3,end,を,-0.0175,-0.038875,-0.04264926,,,,,,-0.03542911,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,さ,0.0175,0.024875,0.01754664,0.01670709,0.01637127,0.01737873,0.01737873,0.02157649,0.02426306,0.02065299,0.02040112,0.02023321,0.02023321,0.01880597,-1,-1,3.353657
1,3,TP3,False,False,False,0.3,end,さ,0.0175,0.024875,0.0240112,,,,,,0.02451493,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,な,-0.0175,0.003625,-0.01595149,-0.01847015,-0.01914179,-0.01872202,-0.01872202,0.01527985,0.003861941,0.002098881,0.002854478,0.003274254,0.003274254,0.01250933,-1,-1,2.327381
1,3,TP3,False,False,False,0.3,end,な,-0.0175,0.003625,-0.01981344,,,,,,0.00369403,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.05423508,-0.05650187,-0.05750933,-0.05750933,-0.05792911,-0.05792911,-0.03408583,-0.03576493,-0.03710821,-0.03710821,-0.03878732,-0.03878732,-1,-1,2.300282
1,3,TP3,False,False,False,0.3,end,変,-0.0525,-0.038875,-1,,,,,,-1,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,め,-0.0525,-0.017625,-0.05364739,-0.04743471,-0.04743471,-0.03677239,-0.02972015,0.06472948,-0.01066231,-0.01208955,-0.01208955,-0.01225746,-0.01242537,-0.01334888,-1,-1,2.868843
1,3,TP3,False,False,False,0.3,end,め,-0.0525,-0.017625,-0.01695896,,,,,,-0.005205224,,,,,,-1,-1,
1,3,TP3,False,False,False,0.3,begin,ま,-0.0525,-0.017625,-0.03979478,-0.02753732,-0.02451493,-0.02056903,-0.02056903,-0.01712687,-0.009822762,-0.005792911,-0.004617538,-0.00352612,-0.00352612,-0.00352612,-1,-1,2.353615
