ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,delta time
1,3,TP3,False,False,False,0.3,begin,B,0.0525,0.024875,0.05722948,0.05429105,0.05415112,0.05415112,0.0540112,0.0540112,0.02469683,0.02301772,0.02189832,0.02189832,0.02161847,0.02161847,3.052109
1,3,TP3,False,False,False,0.3,end,B,0.0525,0.024875,0.05086287,,,,,,0.01861008,,,,,,
1,3,TP3,False,False,False,0.3,begin,、,0.0175,-0.038875,0.02945429,0.02910448,0.02910448,0.02994403,0.0311334,0.03232276,-0.01714086,-0.01868004,-0.01868004,-0.01826026,-0.01812034,-0.0181903,2.4767
1,3,TP3,False,False,False,0.3,end,、,0.0175,-0.038875,0.03085355,,,,,,-0.01756063,,,,,,
1,3,TP3,False,False,False,0.3,begin,B,0.0525,0.024875,0.05443097,0.05310168,0.05261194,0.05065299,0.05065299,0.04785448,0.02350746,0.02140858,0.02084888,0.01965952,0.01965952,0.01651119,2.436401
1,3,TP3,False,False,False,0.3,end,B,0.0525,0.024875,0.05023321,,,,,,0.02140858,,,,,,
1,3,TP3,False,False,False,0.3,begin,し,0.0175,0.024875,0.02686567,0.02553638,0.02539646,0.02525653,0.02525653,0.02518657,0.02098881,0.01937966,0.01798041,0.01560168,0.01490205,0.01469216,2.255035
1,3,TP3,False,False,False,0.3,end,し,0.0175,0.024875,0.01196362,,,,,,0.01784049,,,,,,
1,3,TP3,False,False,False,0.3,begin,れ,0.0175,-0.017625,0.03190299,0.03316231,0.03316231,0.03316231,0.03309235,0.03309235,-0.01441231,-0.01364272,-0.01343284,-0.01343284,-0.01098414,-0.01098414,2.61879
1,3,TP3,False,False,False,0.3,end,れ,0.0175,-0.017625,0.04176772,,,,,,-0.01287313,,,,,,
1,3,TP3,False,False,False,0.3,begin,て,-0.0525,0.003625,-0.03463153,-0.03015392,-0.03015392,-0.02203825,-0.02203825,-0.01770056,0.002588619,-6.996269E-05,-6.996269E-05,-0.001259328,-0.001259328,-0.001958955,2.519455
1,3,TP3,False,False,False,0.3,end,て,-0.0525,0.003625,-0.0176306,,,,,,0.004407649,,,,,,
1,3,TP3,False,False,False,0.3,begin,B,0.0525,0.024875,0.04666511,0.04904385,0.0493237,0.04974347,0.04974347,0.05037314,0.02805504,0.02378731,0.02280784,0.02133862,0.02133862,0.01784049,2.617416
1,3,TP3,False,False,False,0.3,end,B,0.0525,0.024875,0.04456623,,,,,,0.0204291,,,,,,
1,3,TP3,False,False,False,0.3,begin,ま,-0.0525,-0.017625,-0.04722482,-0.04736474,-0.04736474,-0.04652519,-0.04470616,-0.04246735,-0.02000933,-0.02210821,-0.02210821,-0.02217817,-0.02133862,-0.01923974,2.31131
1,3,TP3,False,False,False,0.3,end,ま,-0.0525,-0.017625,-0.04120803,,,,,,-0.02035914,,,,,,
1,3,TP3,False,False,False,0.3,begin,、,0.0175,-0.038875,0.03162314,0.03211287,0.03211287,0.03183302,0.03183302,0.03085355,-0.01840019,-0.01881996,-0.01881996,-0.01902985,-0.01902985,-0.01916978,2.382538
1,3,TP3,False,False,False,0.3,end,、,0.0175,-0.038875,0.03001399,,,,,,-0.01749067,,,,,,
1,3,TP3,False,False,False,0.3,begin,ひ,0.0175,0.003625,0.03155317,0.02959422,0.02959422,0.02854478,0.02854478,0.02539646,0.01602146,0.01658116,0.01658116,0.01595149,0.01595149,0.01231343,2.309875
1,3,TP3,False,False,False,0.3,end,ひ,0.0175,0.003625,0.00804571,,,,,,0.01231343,,,,,,
1,3,TP3,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.04281716,-0.03763993,-0.03414179,-0.03218284,-0.03218284,-0.03190299,-0.02252799,-0.01895989,-0.0181903,-0.0181903,-0.0181903,-0.01812034,2.617447
1,3,TP3,False,False,False,0.3,end,変,-0.0525,-0.038875,-0.0352612,,,,,,-0.0198694,,,,,,
1,3,TP3,False,False,False,0.3,begin,。,0.0175,-0.038875,0.03442164,0.03421175,0.03421175,0.03547108,0.03533116,0.03512127,-0.02371735,-0.02385728,-0.02385728,-0.02315765,-0.02210821,-0.02168843,2.380951
1,3,TP3,False,False,False,0.3,end,。,0.0175,-0.038875,0.01721082,,,,,,-0.02021922,,,,,,
End
